:START_ID(Entity),:END_ID(Entity),:TYPE,evidence,source_file
Country_portugal_d0ef9ea5,EnergySource_natural_gas_72a9bc0c,DEPENDS_ON_ENERGY,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,EnergySource_oil_1ab2bf55,DEPENDS_ON_ENERGY,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_romania_363da05a,EnergySource_crude_oil_63fa455c,DEPENDS_ON_ENERGY,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_romania_363da05a,EnergySource_gas_551c8ec0,DEPENDS_ON_ENERGY,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_romania_363da05a,EnergySource_oil_1ab2bf55,DEPENDS_ON_ENERGY,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_south_korea_238b8074,EnergySource_crude_oil_63fa455c,DEPENDS_ON_ENERGY,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_south_korea_238b8074,EnergySource_lng_4b1b1786,DEPENDS_ON_ENERGY,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_spain_0fb18cea,EnergySource_crude_oil_63fa455c,DEPENDS_ON_ENERGY,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,EnergySource_gas_551c8ec0,DEPENDS_ON_ENERGY,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,EnergySource_lng_4b1b1786,DEPENDS_ON_ENERGY,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,EnergySource_oil_1ab2bf55,DEPENDS_ON_ENERGY,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_thailand_e096b776,EnergySource_gas_551c8ec0,DEPENDS_ON_ENERGY,"Thailand: 2024년 총에너지 공급 5.02EJ 중 석유 2.38EJ, 가스 1.74EJ. LNG 수입 15.8bcm, 파이프라인 가스 수입 5.3bcm 국내 가스 생산 감소와 전력·산업 수요 증가로 LNG 의존 확대. 동남아 전체가 2030년 전후 가스 순수입 지역으로 전환될 전망이라 가격·공급 경쟁 심화 가능",country_energy_dependency.xlsx
Country_thailand_e096b776,EnergySource_lng_4b1b1786,DEPENDS_ON_ENERGY,"Thailand: 2024년 총에너지 공급 5.02EJ 중 석유 2.38EJ, 가스 1.74EJ. LNG 수입 15.8bcm, 파이프라인 가스 수입 5.3bcm 국내 가스 생산 감소와 전력·산업 수요 증가로 LNG 의존 확대. 동남아 전체가 2030년 전후 가스 순수입 지역으로 전환될 전망이라 가격·공급 경쟁 심화 가능",country_energy_dependency.xlsx
Country_thailand_e096b776,EnergySource_oil_1ab2bf55,DEPENDS_ON_ENERGY,"Thailand: 2024년 총에너지 공급 5.02EJ 중 석유 2.38EJ, 가스 1.74EJ. LNG 수입 15.8bcm, 파이프라인 가스 수입 5.3bcm 국내 가스 생산 감소와 전력·산업 수요 증가로 LNG 의존 확대. 동남아 전체가 2030년 전후 가스 순수입 지역으로 전환될 전망이라 가격·공급 경쟁 심화 가능",country_energy_dependency.xlsx
Country_china_eb278d21,Country_australia_62095859,IMPORT_ENERGY_FROM,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,Country_indonesia_d2845120,IMPORT_ENERGY_FROM,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,Country_russia_1d6c59a7,IMPORT_ENERGY_FROM,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,Country_turkmenistan_59a8ee28,IMPORT_ENERGY_FROM,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,Region_lng_수출국_d277cbca,IMPORT_ENERGY_FROM,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_china_eb278d21,Region_middle_east_3095bd27,IMPORT_ENERGY_FROM,"China: 2024년 총에너지 수요의 약 25%를 수입에 의존. 석유·가스·석탄 모두 대규모 수입국이며, LNG 수입 105.2bcm, 석탄 수입 11.62EJ로 매우 큼 국내 생산 기반은 크지만 절대 소비량이 워낙 커서 해상 수송로, 중동 정세, 러시아·중앙아시아 파이프라인, 호주·인도네시아 석탄 공급에 동시 노출",country_energy_dependency.xlsx
Country_germany_45bfada5,Country_norway_5a5a1655,IMPORT_ENERGY_FROM,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,Country_qatar_694450ad,IMPORT_ENERGY_FROM,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,Country_기타_eu_23df0dc3,IMPORT_ENERGY_FROM,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,Region_글로벌_가스_21c9a1c1,IMPORT_ENERGY_FROM,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,Region_미국_lng_ddd42ee1,IMPORT_ENERGY_FROM,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_germany_45bfada5,Region_석유_공급국_8fd6f584,IMPORT_ENERGY_FROM,"Germany: 2024년 총에너지 공급 10.14EJ 중 석유 4.24EJ, 가스 2.83EJ, 석탄 1.58EJ. EU는 석유 90% 이상, 가스 약 85%를 수입 러시아 가스 축소 이후 공급 다변화는 했지만 산업용 에너지 가격과 가스발전 가격결정 구조에 취약. 원전 종료로 전력 안정성·가격 부담도 전략적 약점",country_energy_dependency.xlsx
Country_japan_016a8706,Country_australia_62095859,IMPORT_ENERGY_FROM,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_japan_016a8706,Country_qatar_694450ad,IMPORT_ENERGY_FROM,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_japan_016a8706,Country_united_states_c5660c50,IMPORT_ENERGY_FROM,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_japan_016a8706,Region_middle_east_3095bd27,IMPORT_ENERGY_FROM,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_japan_016a8706,Region_동남아_lng_공급국_cc2a922a,IMPORT_ENERGY_FROM,"Japan: 한국과 유사하게 에너지 수입 의존도 90% 이상. 2024년 LNG 수입 89.0bcm, 석탄 수입 4.35EJ 원전 재가동 지연 시 LNG·석탄 의존이 커짐. 섬나라 구조상 해상 수송로와 스팟 LNG 가격 변동에 매우 취약",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,Country_eu_전력_e5f1b8be,IMPORT_ENERGY_FROM,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,Country_spain_0fb18cea,IMPORT_ENERGY_FROM,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,Country_가스망_f7d87067,IMPORT_ENERGY_FROM,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,Region_eu_외부_원유_fccbcba0,IMPORT_ENERGY_FROM,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,Region_lng_공급국_4c0c3851,IMPORT_ENERGY_FROM,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_portugal_d0ef9ea5,Region_가스_공급국_5c0fe9b4,IMPORT_ENERGY_FROM,"Portugal: 2024년 총에너지 공급 0.77EJ 중 석유 0.44EJ, 천연가스 0.13EJ. 국내 화석연료 생산이 사실상 미미 자체 화석연료 기반이 거의 없어 수입 연료와 이베리아 전력·가스 연계에 의존. 재생에너지 비중 확대가 강점이지만 가뭄 시 수력 변동성 존재",country_energy_dependency.xlsx
Country_romania_363da05a,Country_일부_원유_수입_de5f8f73,IMPORT_ENERGY_FROM,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_romania_363da05a,Country_지역_가스망_420882df,IMPORT_ENERGY_FROM,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_romania_363da05a,Region_eu_64d6219a,IMPORT_ENERGY_FROM,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_romania_363da05a,Region_제한적_외부_공급_3c773ffa,IMPORT_ENERGY_FROM,"Romania: 2024년 총에너지 공급 1.16EJ 중 석유 0.50EJ, 가스 0.34EJ. 자체 원유·가스 생산이 있어 포르투갈·스페인보다 의존도 낮음 상대적으로 자급력이 있으나 생산 감소 추세와 정유·가스 인프라 노후화가 약점. 러시아·흑해 지역 지정학 리스크에도 간접 노출",country_energy_dependency.xlsx
Country_south_korea_238b8074,Country_australia_62095859,IMPORT_ENERGY_FROM,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_south_korea_238b8074,Country_indonesia_d2845120,IMPORT_ENERGY_FROM,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_south_korea_238b8074,Country_qatar_694450ad,IMPORT_ENERGY_FROM,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_south_korea_238b8074,Country_united_states_c5660c50,IMPORT_ENERGY_FROM,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_south_korea_238b8074,Region_middle_east_3095bd27,IMPORT_ENERGY_FROM,"South Korea: 일본과 함께 에너지 수입 의존도가 90% 이상. 원유 수입의 약 70%가 호르무즈 해협, 85%가 말라카 해협을 통과. LNG 수입의 70% 이상이 남중국해 경유 제조업·반도체·배터리 등 에너지 집약 산업 기반인데 화석연료 대부분을 수입. 해협 봉쇄, LNG 가격 급등, 지정학 리스크에 취약",country_energy_dependency.xlsx
Country_spain_0fb18cea,Country_algeria_4b6e8f8b,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,Country_nigeria_2ce5474c,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,Country_qatar_694450ad,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,Country_united_states_c5660c50,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,Region_가스_공급국_5c0fe9b4,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,Region_글로벌_원유_공급국_537679b8,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_spain_0fb18cea,Region_러시아_lng_927f8705,IMPORT_ENERGY_FROM,"Spain: 2024년 총에너지 공급 5.13EJ 중 석유 2.67EJ, 가스 1.02EJ. LNG 수입 18.4bcm로 유럽 내 주요 LNG 수입국 LNG 터미널 역량은 강점이지만 원유·가스 자체 생산은 제한적. 북아프리카 가스, LNG 가격, 해상 수송에 노출",country_energy_dependency.xlsx
Country_thailand_e096b776,Country_australia_62095859,IMPORT_ENERGY_FROM,"Thailand: 2024년 총에너지 공급 5.02EJ 중 석유 2.38EJ, 가스 1.74EJ. LNG 수입 15.8bcm, 파이프라인 가스 수입 5.3bcm 국내 가스 생산 감소와 전력·산업 수요 증가로 LNG 의존 확대. 동남아 전체가 2030년 전후 가스 순수입 지역으로 전환될 전망이라 가격·공급 경쟁 심화 가능",country_energy_dependency.xlsx
